name,description,price,category_name,image_filename,available
Skewer Mix Bowl,,0,Bowls,Skewer-Mix-Bowl.jpg,true
Fajita Sandwich,,0,Sandwiches,Fajita-Sandwhich.jpg,true
Beef Poutine,,0,Specials,Beef-Poutine.jpg,true
Beef Shawarma Bowl,,0,Bowls,Beef-Shawarma-Bowl.jpg,true
Chicken Shawarma Bowl,,0,Bowls,Chicken-Shawarma-Bowl.jpg,true
Kafta Skewers Bowl,,0,Bowls,Kafta-Skewers-Bowl.jpg,true
Chicken Skewers,,0,Skewers,Chicken-Skewers.jpg,true
Vegan Skewers,,0,Skewers,Vegan-Skewers.jpg,true
Beef Skewers,,0,Skewers,Beef-Skewers.jpg,true
Kafta Skewers,,0,Skewers,Kafta-Skewers.jpg,true
Shawarma Bowl Mix,,0,Bowls,Shawarma-Bowl-Mix.jpg,true
Shawarma Sushi,,0,Specials,Shawarma-Sushi.jpg,true
Philly Steak Sandwich,,0,Sandwiches,Philly-Steak-Sandwhich.jpg,true
Mandi Bowl,,0,Bowls,Mandi-Bowl.jpg,true
Shawarma Burger,,0,Burgers,Shawarma-Burger.jpg,true
Chicken Shawarma,,0,Sandwiches,Chicken-Shawarma.jpg,true
Falafel Bowl,,0,Bowls,Falafel-Bowl.jpg,true
Beef Shawarma,,0,Sandwiches,Beef-Shawarma.jpg,true
